nom,type,portion,calories,proteins,lipides,glucides,fibres
Pâté de crevette ou homard,seafood,100,180,20.8,9.4,1.5,
Carotte crue,vegetable,100,41,0.93,0.24,9.58,2.44
Lait fermenté bifidus nature,dairy,100,66.5,3.9,2.92,5.4,0
Bretzels durs (apéritif),autre,100,362,11.1,2.6,81.2,7.7
Coquille St-Jacques,autre,100,215,18.07,10.94,10.13,0
"Tomate, purée (en conserve)",autre,100,38,1.65,0.33,8.98,1.9
Truite arc-en-ciel,seafood,100,150,22.92,5.82,0,0
Mirabelle,autre,100,52.7,0.72,0.2,12,2.3
Moka,autre,100,27,0.3,1,4.5,0.1
Haricots verts,autre,100,29.4,2,0.17,3,4
"Pizza au fromage (congelée, pâte lève-au-four)",autre,100,260,12.37,8.78,32.91,2.5
Yaourt nature allégé,dairy,100,51,5.04,0.1,7.26,0
Jus de carotte,vegetable,100,24,0.95,0.15,4.7,0.8
Flocons de maïs givrés,cereal,100,393,4.667,0.333,90,1.667
Salade de fruits tropicaux (conserve),autre,100,86,0.41,0.1,22.36,1.3
Tostada et guacamole,autre,100,,,,,
Banane Plantain cuite,fruit,100,116,0.79,0.18,31.15,2.3
Chocolat chaud maison,autre,100,77,3.52,2.34,10.74,1
Epaule de porc rôtie,meat,100,292,23.28,21.39,0,0
Fromage de tête,dairy,100,157,13.83,10.9,0,0
Brochet,autre,100,95,21,0.7,0,0
Pruneau,autre,100,339,3.7,0.73,89.07,
Bulgur cuit,autre,100,83,3.08,0.24,18.58,2.85
Menthe verte fraîche,autre,100,44,3.29,0.73,8.41,6.8
Hoummos maison,autre,100,177,4.86,8.59,20.12,4
Ormeau frit,autre,100,189,19.63,6.78,11.05,0
Langue de veau,meat,100,202,25.85,10.1,0,0
Sorbet à l'orange,autre,100,144,1.1,2,30.4,1.3
Corn Flakes,autre,100,389,7,0.7,86.2,2.6
Graisse de mouton,autre,100,902,0,100,0,0
Cuisse de poulet rôti avec la peau,meat,100,232,25.96,13.46,0,0
Beurre salé,dairy,100,717,0.85,81.11,0.06,0
Olives,autre,100,115,0.84,10.68,6.26,3.2
